"version";"generator";"copyright";"attribution";"license";"changesets.id";"changesets.created_at";"changesets.open";"changesets.comments_count";"changesets.changes_count";"changesets.closed_at";"changesets.min_lat";"changesets.min_lon";"changesets.max_lat";"changesets.max_lon";"changesets.uid";"changesets.user";"changesets.tags.changesets_count";"changesets.tags.comment";"changesets.tags.created_by";"changesets.tags.hashtags";"changesets.tags.host";"changesets.tags.imagery_used";"changesets.tags.locale";"changesets.tags.source";"changesets.tags.review_requested";"changesets.tags.warnings:crossing_ways:building-highway"
"0.6";"OpenStreetMap server";"OpenStreetMap and contributors";"http://www.openstreetmap.org/copyright";"http://opendatacommons.org/licenses/odbl/1-0/";149053068;"2024-03-23T14:24:01Z";FALSE;0; 5;"2024-03-23T14:24:02Z";-12.92055;-38.43211;-12.92049;-38.43207;21160844;"Mauricio Ed";5;#osmus-tasks-538, Mapatona YouthMappers UFBA BA 20/03/24;iD 2.21.1;#osmus-tasks-538;https://tasks.openstreetmap.us/projects/538/map/;Esri World Imagery;.gpx data file;pt-BR;aerial imagery;Bing;Esri;NA;NA
"0.6";"OpenStreetMap server";"OpenStreetMap and contributors";"http://www.openstreetmap.org/copyright";"http://opendatacommons.org/licenses/odbl/1-0/";149052433;"2024-03-23T14:11:22Z";FALSE;0;57;"2024-03-23T14:11:23Z";-12.92209;-38.43269;-12.92044;-38.43197;21160844;"Mauricio Ed";4;#osmus-tasks-538, Mapatona YouthMappers UFBA BA 20/03/24;iD 2.21.1;#osmus-tasks-538;https://tasks.openstreetmap.us/projects/538/map/;Esri World Imagery (Clarity) Beta;.gpx data file;pt-BR;NA;NA;NA
"0.6";"OpenStreetMap server";"OpenStreetMap and contributors";"http://www.openstreetmap.org/copyright";"http://opendatacommons.org/licenses/odbl/1-0/";149051809;"2024-03-23T13:54:53Z";FALSE;0;99;"2024-03-23T13:54:54Z";-12.92696;-38.43393;-12.92035;-38.43179;21160844;"Mauricio Ed";3;#osmus-tasks-538, Mapatona YouthMappers UFBA BA 20/03/24;iD 2.21.1;#osmus-tasks-538;https://tasks.openstreetmap.us/projects/538/map/;Esri World Imagery (Clarity) Beta;.gpx data file;Bing Maps Aerial;Esri World Imagery;pt-BR;aerial imagery;Bing;Esri;NA;NA
"0.6";"OpenStreetMap server";"OpenStreetMap and contributors";"http://www.openstreetmap.org/copyright";"http://opendatacommons.org/licenses/odbl/1-0/";149049540;"2024-03-23T12:43:56Z";FALSE;0;51;"2024-03-23T12:43:57Z";-12.92173;-38.43267;-12.91913;-38.43184;21160844;"Mauricio Ed";2;#osmus-tasks-538, Mapatona YouthMappers UFBA BA 20/03/24;iD 2.21.1;#osmus-tasks-538;https://tasks.openstreetmap.us/projects/538/map/;Mapbox Satellite;.gpx data file;Bing Maps Aerial;Esri World Imagery (Clarity) Beta;pt-BR;aerial imagery;Bing;Esri;NA;NA
"0.6";"OpenStreetMap server";"OpenStreetMap and contributors";"http://www.openstreetmap.org/copyright";"http://opendatacommons.org/licenses/odbl/1-0/";148254832;"2024-03-05T15:01:48Z";FALSE;0;50;"2024-03-05T15:01:49Z";-12.91609;-38.43948;-12.91535;-38.43846;21160844;"Mauricio Ed";1;#osmus-tasks-538;iD 2.21.1;#osmus-tasks-538;https://tasks.openstreetmap.us/projects/538/map/;Bing Maps Aerial;.gpx data file;pt-BR;NA;yes;2
